Regex;Category
SPAR;Groceries
LIDL;Groceries
RONI;Groceries
TESCO;Groceries
CBA;Groceries
BKK AUTOMATA;BKV pass
VENDIT AUTOMATÁK;Soda and sweets machnie
BIOHAIR;Barber
HUMMUS BAR;Eat out
Kerkyra Bisztro;Eat out
ANGEL PIZZA;Eat out
BECSI BISZTRO;Eat out
MEALBOX SERVICE;Eat out
KTK KLUB;Drinking
WWW.PIZZAFORTE.HU;Eat out
KFC ERZSÉBET;Eat out
Padthai Wokbar;Eat out
LALIBELA FALATOZÓ;Eat out
Wasabi;Eat out
Central Kavehaz;Eat out
NETPINCER.HU;Eat out
Budapest,XIII.Nyugati tér;Cash out
BORPATIKA;Drinking
HERMINA ÉTTEREM;Eat out
Office Bistro;Eat out
PEPITA ÉTTEREM;Eat out
Wolt Enterprises;Eat out
Star Kebab Etterem;Eat out
DM 380;Hygenie
Kiraly BÚcsi Kft;Eat out
SZERÁJ ÉTTEREM;Eat out
MUHELY PUB;Drinking
NK-WJP8VY;University Fee
VODAFONE POSTPAID PAYMENT;Vodafone
Budapest,VI.Váci út;Cash out
BESTBYTE;Gadgets

Eker Etterem;Eat out
Minimal-Food Kft.;Eat out
IL TRENO Expressz;Eat out
MEDIA MARKT WESTEND;Gadgets
JEGY.MAV-START.HU;Inland Travel
KISPOLSZKI;Drinking
Absolut Party Kft;Drinking
Ítkert;Drinking
FOZELÉKFALÓ;Eat out
Cafe Five;Eat out
ARRIBA TAQUERIA;Eat out
IL Treno Buono Alle;Eat out
cinemacity.hu;Cinema
AUCHAN;Groceries
DARSHAN ÉTTEREM;Eat out
KELET KÁVÉZÓ;Eat out
HAMBURGERHÁZ;Eat out
VIMPAY.MAV-START;Inland Travel
GELETA CUKRASZDA;Eat out
BUBBLEOLOGY;Eat out
ZAFIR ABC;Groceries
BITE BAKERY CAFE;Eat out
FOOD CORNER;Eat out
LIPÓTI PÉKSÉG;Groceries
DÉJÁ VU ÉTTEREM;Eat out
CAFE FIVE;Eat out
CSIRKEFOGO;Eat out
ISTAMBUL KEBABS;Eat out
ANNA-KRISZ ABC;Groceries
MLINAR PÉKSÉG WESTEND;Groceries
BUBU TEA;Eat out
LIPÓTI PÉKSÉG;Groceries
Bajor S?r?z?;Eat out
CINEMA CITY ALLEE;Cinema
KAUFLAND;Groceries
B CINEMA CITY ALLEE;Cinema
