Groceries;['SPAR', 'LIDL', 'RONI', 'TESCO', 'CBA', 'AUCHAN', 'ZAFIR ABC', 'LIPÓTI PÉKSÉG', 'ANNA-KRISZ ABC', 'MLINAR PÉKSÉG WESTEND', 'KAUFLAND']
BKV pass;['BKK AUTOMATA']
Soda and sweets machnie;['VENDIT AUTOMATÁK']
Barber;['BIOHAIR']
Eat out;['HUMMUS BAR', 'Kerkyra Bisztro', 'ANGEL PIZZA', 'BECSI BISZTRO', 'MEALBOX SERVICE', 'WWW.PIZZAFORTE.HU', 'KFC ERZSÉBET', 'Padthai Wokbar', 'LALIBELA FALATOZÓ', 'Wasabi', 'Central Kavehaz', 'NETPINCER.HU', 'HERMINA ÉTTEREM', 'Office Bistro', 'PEPITA ÉTTEREM', 'Wolt Enterprises', 'Star Kebab Etterem', 'Kiraly BÚcsi Kft', 'SZERÁJ ÉTTEREM', 'Eker Etterem', 'Minimal-Food Kft.', 'IL TRENO Expressz', 'FOZELÉKFALÓ', 'Cafe Five', 'ARRIBA TAQUERIA', 'IL Treno Buono Alle', 'DARSHAN ÉTTEREM', 'KELET KÁVÉZÓ', 'HAMBURGERHÁZ', 'GELETA CUKRASZDA', 'BUBBLEOLOGY', 'BITE BAKERY CAFE', 'FOOD CORNER', 'DÉJÁ VU ÉTTEREM', 'CAFE FIVE', 'CSIRKEFOGO', 'ISTAMBUL KEBABS', 'BUBU TEA', 'Bajor S?r?z?']
Drinking;['KTK KLUB', 'BORPATIKA', 'MUHELY PUB', 'KISPOLSZKI', 'Absolut Party Kft', 'Ítkert']
Cash out;['Budapest,XIII.Nyugati tér', 'Budapest,VI.Váci út']
Hygenie;['DM 380']
University Fee;['NK-WJP8VY']
Vodafone;['VODAFONE POSTPAID PAYMENT']
Gadgets;['BESTBYTE', 'MEDIA MARKT WESTEND']
Inland Travel;['JEGY.MAV-START.HU', 'VIMPAY.MAV-START']
Cinema;['cinemacity.hu', 'CINEMA CITY ALLEE', 'B CINEMA CITY ALLEE']
